field_0,dust,type,project,description,installs,links
1,656,RFP,0bin,A client-side encrypted pastebin.,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=748374
2,281,RFP,2048,Simple number game for the text console,4,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=767414
3,813,RFP,2mandvd,Video DVD creator,103,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=690593
4,149,O,2vcard,perl script to convert an addressbook to,107,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=855563
5,521,RFP,3proxy,tiny free proxy server,3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=718219
6,1479,RFP,6rd,Init Script for IPv6 6rd Transition (RFC 5969),0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=622370
7,1050,O,9base,Plan 9 userland tools,91,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=800518
8,669,O,a2ps,GNU a2ps - 'Anything to PostScript' converter and pretty[..],4052,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=840888
9,206,O,aafigure,ASCII art to image converter,43,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=719549
10,1479,RFP,abcl,A full implementation of the Common Lisp language runnin[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=608466
11,1479,RFP,abcl,A full implementation of the Common Lisp language runnin[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=701712
12,77,RFP,abduco,"lightweight session manager with {de,at}tach support",11,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=900387
13,663,O,abiword,"efficient, featureful word processor with collaboration",3109,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=740678
14,617,O,abntex,LaTeX class for writing documents in ABNT standard,132,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=847247
15,590,RFP,aces2,Advanced Concepts in Electronic Structure II,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=642472
16,1905,O,acheck-rules,Basic rules for acheck,63,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=710152
17,351,O,achilles,An artificial life and evolution simulator,93,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=873552
18,1479,RFP,acopost,collection of POS-tagger tools,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=671281
19,3087,O,acorn-fdisk,Partition editor for Acorn/RISC OS machines,25,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=572371
20,757,O,acoustid-fingerp[..],Acoustid fingerprinter,105,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=828784
21,1793,RFP,acpi-support-minimal,minimal acpi scripts,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=679078
22,1306,RFP,acrylamid,A static blog generator.,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=775556
23,1479,RFP,ad2openldap,Replication tool to populate OpenLDAP with objects from AD,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=698825
24,155,RFP,adagios,Adagios is an alternative web configuration (and status)[..],1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=744818
25,1392,RFP,adbfuse,fuse layer for ADB,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=729259
26,962,RFP,adderall,a miniKanren implementation in Hy,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=755887
27,376,RFP,addon-sdk,development environment for Iceweasel add-ons,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=703949
28,495,O,adequate,Debian package quality testing tool,984,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=786808
29,1825,RFP,adhcp,DHCP implementation in Ada,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=677230
30,962,RFP,adk2tool,Android accessory development kit tools,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=726060
31,624,RFP,adms,An automatic device model synthesizer,6,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=501264
32,2115,O,adplay,console-based OPL2 audio player,32,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=691817
33,178,RFP,aegir-provision,backend of the Aegir hosting system,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=532923
34,1825,RFP,aescrypt,simple aes encryption tool,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=609505
35,2369,O,aewm,minimalist window manager for X11,44,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=660497
36,73,RFP,afaq-dl,Download/update the sources of anarchism book,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=856256
37,586,RFP,affiliatefox-fsfe,iceweasel plugin for fsfe,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=577693
38,171,RFP,afl-utils,collection of utilities for American Fuzzy Lop,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=845133
39,962,RFP,aften,ATSC A/52 (AC3 audio) encoder,372,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=681730
40,270,RFP,ags,Please add 'ags'  (adventure game studio) to Debian games,6,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=844078
41,567,RFP,aguilas,A web-based LDAP user management system,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=652464
42,711,O,aiksaurus,This package provides an English-language thesaurus (dev[..],70,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=836473
43,646,RFP,aiohttp-debugtoolbar,debugtoolbar for aiohttp.web,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=832981
44,756,RFP,airdcpp-webclient,Direct Connect file-sharing client with web front-end,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=831904
45,281,RFP,airflow,"Programmatically author, schedule and monitor data pipelines",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=819700
46,596,RFP,airoscript-ng,User interface for aircrack-ng,2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=626489
47,308,O,airport-utils,configuration and management utilities for Apple AirPort[..],90,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=688537
48,576,RFP,airspeed-velocity,Python benchmarking tool with web-based reporting,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=851602
49,823,O,aj-snapshot,make snapshots of JACK connections,196,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=814501
50,962,RFP,ajaxometer,webbased download and upload speed test utility,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=737352
51,1825,RFP,ajaxplorer,a fancy web file manager working on most modern browsers,21,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=668381
52,441,O,ajaxterm,Web based terminal written in Python.,103,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=753565
53,378,RFP,ajenti,multilingual web-based server administration panel,119,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=792019
54,565,RFP,alacarte-map-server,tile renderer for OpenStreetMap using Cairo and MapCSS,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=705324
55,587,RFP,alaveteli,free software to help citizens write Freedom of Informat[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=742931
56,2010,O,ale,synthetic capture engine and renderer,88,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=700405
57,303,RFP,alephone,marathon engine for related data games,2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=119911
58,508,O,alevt,X11 Teletext/Videotext browser,26,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=858603
59,508,O,alevt,X11 Teletext/Videotext browser,26,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=532093
60,10,RFP,alfanous,Quranic search engine,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=861621
61,1137,O,alien,convert and install rpm and other packages,9509,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=791522
62,525,RFP,alienfeed,Reddit command-line client,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=728940
63,704,O,alliance,VLSI CAD Tools,87,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=811553
64,1613,RFP,almohazzem,Powerful Linux packaging SDK,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=714390
65,1557,RFP,alopex,tiling window manager,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=706342
66,1504,O,altermime,utility used to alter mime-encoded mailpacks,2499,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=753566
67,355,RFP,amazon-chalice,Python microframework for AWS Lambda,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=846478
68,573,RFP,amazon-dsstne,deep scalable sparse tensor network engine,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=824692
69,427,RFP,ambix-plugins,ambiX Ambisonic plug-in suite,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=817834
70,628,RFP,amdgpu-pro,proprietary AMD graphics drivers,37,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=845589
71,812,O,ample,A simple MP3 server easy to use,25,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=629687
72,20,RFP,amtk,"Actions, Menus and Toolbars Kit library for GTK+ applica[..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=904643
73,93,O,anacron,cron-like program that doesn't go by time,99766,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=897138
74,1825,O,analog,web server log analyzer,23855,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=682585
75,487,O,analog,web server log analyzer,23855,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=674866
76,1613,RFP,analogwidgets,"a library of ""analogue"" widgets written with use of Qt",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=738205
77,599,RFP,android,Android SDK (mobile phone platform),0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=459219
78,336,RFP,android-platform[..],Java Security Provider that uses OpenSSL,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=824720
79,633,RFP,android-platform[..],Android compiler frameworks,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=795946
80,1358,RFP,android-studio,An integrated development environment for Android,5,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=747614
81,153,RFP,anglerfish,helper library for Python applications,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=847662
82,181,RFP,angular-ui-sortable,allows you to sort an array with drag & drop,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=848538
83,1353,RFP,angularjs-batarang,AngularJS WebInspector Extension for Chrome,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=730587
84,29,RFP,animeeffects,2D keyframe animation tool based on deformation of polyg[..],1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=860252
85,528,RFP,anki-sync-server,a personal synchronisation server for Anki (a flashcard [..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=806750
86,593,RFP,AnnealMail,Icedove pqcrypto add-on,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=849321
87,624,RFP,annex,anime themed real time strategy game,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=768200
88,991,RFP,anomos,Anonymous file sharing,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=580823
89,962,RFP,anox,anoX permits to run an application in,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=650785
90,286,RFP,ansi2gif,create graphical output in gif format,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=832902
91,491,RFP,ansifilter,handles text files containing ANSI terminal escape codes,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=603339
92,106,O,antigrav,Multiplayer flying saucer racing game,288,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=897285
93,198,RFP,anything-sync-daemon,Symlink and sync user specified directories into RAM,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=842162
94,1549,RFP,ap-hotspot,setup wireless hotspot,13,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=748640
95,995,O,ap-utils,Access Point SNMP Utils for Linux,122,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=703278
96,142,RFP,apache-directory[..],The Eclipse-based LDAP,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=733044
97,178,RFP,apache-karaf,A small OSGi based application server provisioned from m[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=881297
98,205,RFP,apache-mesos,Cluster manager for sharing distributed application fram[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=760315
99,677,RFP,apache-spark,lightning-fast cluster computing,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=802194
100,572,RFP,apache2-mod-brotli,Brotli compression module for Apache,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=851931
101,1641,O,apachetop,Realtime Apache monitoring tool,1137,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=541377
102,373,O,apachetop,Realtime Apache monitoring tool,1137,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=540583
103,651,O,apf-firewall,easy iptables based firewall system,104,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=842966
104,59,RFP,apfs-fuse,FUSE driver for Apple File System (APFS),0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=901703
105,962,RFP,apg-gui,GUI for Automated Password Generator (APG),0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=753891
106,422,O,apipkg,namespace control and lazy-import mechanism for Python,628,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=840029
107,802,O,apngasm,assemble APNG animation from PNG/TGA image sequence,83,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=826282
108,802,O,apngdis,deconstruct APNG file into a sequence of PNG frames,64,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=826283
109,802,O,apngopt,optimize APNG animated images,74,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=826284
110,732,O,apparix,console-based bookmark tool for fast,33,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=741089
111,853,RFP,appfap,reduce priority of desktop applications in the background,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=820976
112,614,RFP,apr-json,JSON serializer / deserializer for use with Apache Porta[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=699496
113,1694,RFA,apron,abstract interpretation library,31,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=733101
114,677,O,apsfilter,Magic print filter with automatic file type recognition,121,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=840046
115,204,O,apt-build,"frontend to apt to build, optimize",398,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=365427
116,566,RFP,apt-fast,shellscript wrapper for apt-get or aptitude,23,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=690183
117,2734,O,apt-move,Maintain Debian packages in a package,191,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=547348
118,2793,O,apt-rdepends,Recursively lists package dependencies,1241,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=487125
119,1353,RFP,apt-wishlist,Utility that allows users to request their sysadmin to i[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=720123
120,759,O,apt-xapian-index,maintenance and search tools for a Xapian index of Debia[..],18541,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=813201
121,962,RFP,apt-zeroconf [1] [2],Caching peer-to-peer apt proxy for local networks,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=456815 https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=503965
122,754,O,aptsh,apt interactive shell,157,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=831493
123,780,O,apvlv,PDF viewer with Vim-like behaviour,193,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=798945
124,2441,O,ara,utility for searching the Debian package database,90,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=450876
125,486,RFP,arangodb,ArangoDB is a multi-model mostly-memory database with a [..],3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=761817
126,271,RFP,arasan,xboard-compatible chess engine,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=771057
127,256,RFP,arasuite,set of tools useful for working with people with communi[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=883335
128,227,O,arc,Archive utility based on the MSDOS ARC program,945,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=885923
129,1591,RFP,archipel,virtual machines management,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=658884
130,674,RFP,arctic,high performance datastore for time series and tick data,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=791809
131,540,RFP,arduide,Qt-based IDE for Arduino development,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=692356
132,268,RFA,argyll,"Color Management System, calibrator and profiler",47572,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=789557
133,181,RFP,arista-go,Arista Go Library,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=858722
134,216,O,arno-iptables-fi[..],single- and multi-homed firewall script with DSL/ADSL su[..],428,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=886951
135,1094,O,arpalert,monitor ARP changes in ethernet networks,129,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=612902
136,228,RFP,arrayfire-cuda,CUDA backend for ArrayFire,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=808264
137,962,RFP,arrowhead,micro-framework for flowchart-like computing,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=748677
138,15,O,as31,Intel 8031/8051 assembler,42,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=905080
139,244,RFP,asar,Simple extensive tar-like archive format with indexing,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=859361
140,11,RFA,asciinema,"Record and share your terminal sessions, the right way",366,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=903438
141,521,RFP,asciiportal,puzzle jump'n'run adventure game,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=548031
142,328,RFP,asciiquarium,Enjoy the mysteries of the sea from the safety of your o[..],3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=823693
143,1852,RFP,askbot,"open source Q&A system, like StackOverflow, Yahoo Answer[..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=687966
144,704,O,asp,Discovers present ip-address of dynamically connected hosts,29,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=812610
145,962,RFP,aspell-dsb,Lower Sorbian dictionary for GNU Aspell,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=763554
146,777,O,aspell-hu,Hungarian dictionary for aspell,1354,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=828943
147,409,O,aspell-it,Italian dictionary for GNU Aspell,4985,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=866830
148,293,O,aspell-kk,Kazakh dictionary for GNU Aspell,108,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=879869
149,1158,RFP,aspell-lang,dictionary creation tools for aspell,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=536075
150,662,O,aspell-uz,The Uzbek dictionary for GNU Aspell,21,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=841695
151,2368,RFA,aspic,Line art generator,37,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=657083
152,1479,RFP,aspsms-t,aspsms-t is an open source /*GPL*/ jabber2sms transport [..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=645103
153,655,RFP,aspy.yaml,extensions to pyyaml,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=793656
154,106,O,assaultcube,realistic first-person-shooter,224,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=728193
155,106,O,assaultcube-data,data files and documentation,228,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=728191
156,423,RFP,asset-collector,collect information about the used hardware/software,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=814543
157,1485,RFP,asterisk-chan-dongle,asterisk's huawei 3g dongle channel driver,3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=755680
158,823,O,asterisk-prompt-[..],Colombian Spanish voice prompts for Asterisk,12,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=823902
159,1469,RFP,async,a library for OCaml asynchronous programming,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=718237
160,1469,RFP,async-core,Async library for OCaml asynchronous programming (core),0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=718238
161,1469,RFP,async-extra,Async library for OCaml asynchronous programming (extra),0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=718240
162,1469,RFP,async-unix,Async library for OCaml asynchronous programming (unix),0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=718239
163,400,RFP,asynctest,unittest extension to test code using asyncio,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=820001
164,541,RFP,asynk,"Contacts synchronization for Google Contacts, BBDB and O[..]",1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=709161
165,622,O,atheist,General purpose command-line testing tool,22,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=846287
166,52,RFP,Atomsk,A tool for manipulating and converting atomic data files,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=878152
167,207,RFP,atomtopubsub,parse Atom feeds and send them to XMPP PubSub nodes,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=887799
168,962,RFP,ats2-mode,Emacs major mode to edit ATS2 source code,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=746026
169,962,RFP,audela,Astro-imaging software,3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=744236
170,759,O,audiolink,makes managing and searching for music easier,27,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=831544
171,514,RFP,audioseg,audio segmentation toolkit,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=688827
172,221,RFP,audiveris,Optical Music Recognition module,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=547671
173,1305,O,aumix,Simple text-based mixer control program,1034,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=770262
174,237,RFP,ausweisapp2,online authentication using German identity document,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=881424
175,603,RFP,authprogs,A simple wrapper for SSH's resticted commands via pubkey[..],2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=616126
176,2569,O,autoclass,automatic classification or clustering,236,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=636406
177,647,O,autodia,generates UML diagrams from perl or C++ code,140,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=843364
178,245,O,autofs,kernel-based automounter for Linux,5041,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=849148
179,600,RFP,autoglade,automagic application generation using Glade,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=495967
180,1668,RFP,autolatex,an automated system for building LaTeX documents,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=721342
181,520,RFH,autopkgtest,automatic as-installed testing for Debian packages,1112,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=846328
182,2569,O,autoproject,create a skeleton source package for a new program,281,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=636407
183,752,O,autopsy,graphical interface to SleuthKit,414,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=832370
184,728,RFP,autosubmit,Manage weather and climate experiments on supercomputers,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=784438
185,2409,O,autounit [1] [2],C unit testing framework interfacing well with autotools,19,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=585423 https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=588591
186,962,RFP,avant-window-nav[..],MacOS X like panel for GNOME,27,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=730676
187,622,RFP,avt,Aviation Tools,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=723828
188,2734,O,awffull,web server log analysis program,59,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=581365
189,396,RFP,awlsim,S7 compatible soft-PLC,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=815196
190,565,RFP,awslogs,AWS CloudWatch logs for Humans,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=802927
191,402,O,awstats,powerful and featureful web server log,3721,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=755797
192,1481,O,aylet,ncurses-based player for Spectrum '.ay' music files,17,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=756105
193,962,RFP,b2sum,BLAKE2 family of hash functions -- command-line tool,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=734112
194,565,RFP,b43-asm,assembler and disassembler for Broadcom BCM43xx firmware,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=513973
195,548,O,b43-fwcutter,utility for extracting Broadcom 43xx,2681,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=751205
196,548,O,b43-fwcutter,utility for extracting Broadcom 43xx,2681,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=754534
197,103,O,backuppc,"high-performance, enterprise-grade system for backing up PCs",951,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=887490
198,687,RFP,baculum,Baculum WebGUI tool for Bacula Community program,3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=780157
199,687,RFP,baculum,Baculum WebGUI tool for Bacula Community program,3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=780155
200,464,RFP,baka-mplayer,A libmpv based media player,5,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=813591
201,536,RFP,bakefile,"cross-platform, cross-compiler native makefiles",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=496832
202,759,O,balder2d,A 2D shooter in zero gravity,152,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=831545
203,566,RFH,balsa,An e-mail client for GNOME,619,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=642906
204,331,O,bandwidthd,Tracks usage of TCP/IP and builds html files with graphs,202,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=876073
205,616,RFP,bangsh,framework for easy shell scripting,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=797970
206,1479,RFP,base91,base91 encoder/decoder,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=706078
207,696,RFP,Basenji,A cross-platform media indexing/search tool,8,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=838224
208,95,RFP,basenji,#838224,8,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=854312
209,219,RFP,bash-unit,bash unit testing enterprise edition framework for profe[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=839210
210,150,O,basic256,educational BASIC programming environment,85,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=845980
211,34,O,bauble,biodiversity collection manager software application,65,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=903644
212,589,RFP,bauble-installer,bauble is a botanic collection manager,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=799535
213,962,RFP,bbbike,route planner for cyclists,3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=771414
214,632,RFP,bbbike,route planner for cyclists,3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=210245
215,692,O,bbmail,Mail notifier for Blackbox/Fluxbox,23,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=832561
216,692,O,bbtime,Time tool for the blackbox/fluxbox window managers,44,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=837114
217,167,RFP,bccontrib,"Skein hash, Threefish encryption and",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=754198
218,283,RFA,bcfg2,Configuration management system,538,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=880882
219,962,RFP,bdreader,An e-comics reader,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=759212
